"","Date","max","min","mean","sd"
"S2020-06-28.1",2020-06-28,0.879420276575836,0.169771760578571,0.588475514697584,0.17451315685066
"L2020-06-29",2020-06-29,0.92808357039933,0.13566351129275,0.612826373498091,0.197328810099511
"L2020-06-29.1",2020-06-29,0.917594991823963,0.183821727972136,0.615445118580371,0.185783874602812
"S2020-07-03",2020-07-03,0.910905458396763,0.175777260487404,0.634627557838166,0.185822677056064
"S2020-07-13",2020-07-13,0.911905232868919,0.176158527361134,0.643034564298835,0.1863242065348
"S2020-07-20",2020-07-20,0.999837418078137,0.113353868686819,0.584065926379626,0.220837099666989
"S2020-08-01",2020-08-01,0.917986200363381,0.166002694280319,0.659800411622211,0.196891727304992
"S2020-08-01.1",2020-08-01,0.91169521318154,0.229213715724306,0.657699096784265,0.180638437002167
"S2020-08-06",2020-08-06,0.905789399529808,0.192411933013618,0.658971129947177,0.182027575547751
"S2020-08-17",2020-08-17,0.916487297866517,0.0783553117755878,0.645183385039089,0.205135621593078
"S2020-08-17.1",2020-08-17,0.910307110725606,0.174764416902608,0.652503334331992,0.191465244392335
"S2020-08-22",2020-08-22,0.914246496171536,0.0137600117494122,0.611212428008555,0.209786336490067
"L2020-09-01",2020-09-01,0.895807286211679,0.211321367824711,0.654454789157166,0.175246224267071
"S2020-09-01",2020-09-01,0.895035794508719,0.192378354313473,0.663636138930187,0.172388173796871
"S2020-09-03",2020-09-03,0.911691818531276,0.141081400164626,0.652122252529315,0.1943283549003
"S2020-09-03.1",2020-09-03,0.900253831420108,0.19033169157655,0.654153198271741,0.181321422945276
"S2020-09-10",2020-09-10,0.795762655354167,0.226270073308013,0.525675094382095,0.153360223812962
"S2020-09-16",2020-09-16,0.880245597023177,0.178386110949738,0.645255179077465,0.176172454073257
"S2020-09-18",2020-09-18,0.802467891492146,0.225481239375469,0.616196857777706,0.14114119875644
"S2020-09-20",2020-09-20,0.882647948820677,0.0487210343366041,0.649326554081742,0.185269921699618
"S2020-09-20.1",2020-09-20,0.863927524322949,0.153030914215677,0.644228122216864,0.167800820032203
"S2020-09-23",2020-09-23,0.87094702821709,0.0313135573692742,0.64925835464006,0.18871322805184
"S2020-09-23.1",2020-09-23,0.858120340704142,0.0667335056331055,0.650851613147368,0.177381953460962
"S2020-09-26",2020-09-26,0.791881966530606,0.138256948490845,0.626595455298558,0.149578680054288
"S2020-09-30",2020-09-30,0.774688063707485,0.157407423376587,0.606461208443684,0.14603920927209
"S2020-09-30.1",2020-09-30,0.741898811448144,0.202597461578164,0.597977430282062,0.130684828436554
"S2021-06-03",2021-06-03,0.849889627742104,0.064388975529493,0.571252634125288,0.193262384131774
"S2021-06-03.1",2021-06-03,0.83598490437903,0.152359520427107,0.578760906430881,0.180927747119025
"S2021-06-05",2021-06-05,0.872883562725278,0.089692895172436,0.578405973398348,0.193656026183
"S2021-06-05.1",2021-06-05,0.846768178227521,0.160405969425158,0.581080586207482,0.180890516054096
"S2021-06-08",2021-06-08,0.751161248577833,0.146295100844482,0.482184859087848,0.136015713105422
"S2021-06-08.1",2021-06-08,0.733254267468245,0.187761540382319,0.479123270776178,0.124846820246414
"L2021-06-09",2021-06-09,0.854703077507898,0.181535707512917,0.579680732376402,0.177360675699884
"L2021-06-09.1",2021-06-09,0.886614170522716,0.12584191426619,0.577168665862365,0.188380800318173
"S2021-06-10",2021-06-10,0.820471556634077,0.134028728525248,0.52638980681745,0.168340091826624
